station,MAG_MEAN,STDEV
0,53804.0,0.0
1,53737.666666666664,86.1020066871589
2,53800.333333333336,0.9428090415820634
3,53813.666666666664,4.109609335312651
4,53817.666666666664,2.6246692913372702
5,53843.666666666664,7.039570693980959
6,53636.666666666664,385.9398341134995
7,54093.666666666664,17.211107524567446
8,54375.666666666664,80.19282317569876
9,54018.0,49.926612809869916
10,53800.333333333336,10.077477638553983
11,53775.333333333336,23.83741223837483
12,53770.666666666664,6.128258770283411
13,53778.333333333336,2.6246692913372702
14,53774.333333333336,2.0548046676563256
15,53777.666666666664,21.545816814923082
16,53734.333333333336,46.22649552895925
17,53792.666666666664,16.49915822768611
18,53775.0,5.656854249492381
19,53782.666666666664,2.6246692913372702
20,53767.333333333336,29.95923155816176
21,53782.666666666664,3.0912061651652345
