station,MAG_MEAN,STDEV
0,53680,9.899494937
3,53751.66667,1.247219129
4,53900,1.632993162
4.5,54075.66667,120.0897812
5,54228.66667,11.14550233
6,54134,1.632993162
7.5,53798.33333,4.784233365
9,53708.33333,0.471404521
12,53678.66667,3.771236166
15,53671.33333,2.624669291

