station,MAG_MEAN,STDEV
1,54384,1.732050808
5,54382,2.886751346
9,54380,3.511884584
12.5,54402,227.4391494
13,54765.6,363.6488364
13.5,53970.38889,573.330155
14.5,53837.27778,388.5576748
15.5,54357.16667,2.5
16.5,54368.11111,2.516611478
17,54377,0
