,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
57,80.0,0.0,90.0,0.0,110.0,0.0,120.0,0.0,-0.5880778079721557,0.0
58,80.0,0.0,90.0,0.0,120.0,0.0,130.0,0.0,-0.316456245003342,0.0
59,80.0,0.0,90.0,0.0,130.0,0.0,140.0,0.0,-0.1755578227218152,0.0
60,80.0,0.0,90.0,0.0,140.0,0.0,150.0,0.0,-0.10419496319188537,0.0
61,80.0,0.0,90.0,0.0,150.0,0.0,160.0,0.0,-0.06604549339882605,0.0
62,80.0,0.0,90.0,0.0,160.0,0.0,170.0,0.0,-0.044310931825734805,0.0
63,80.0,0.0,90.0,0.0,170.0,0.0,180.0,0.0,-0.031147036732852,0.0
64,100.0,0.0,110.0,0.0,120.0,0.0,130.0,0.0,-4.5870455495528075,0.0
65,100.0,0.0,110.0,0.0,130.0,0.0,140.0,0.0,-0.9826340479250057,0.0
66,100.0,0.0,110.0,0.0,140.0,0.0,150.0,0.0,-0.35739881501270715,0.0
67,100.0,0.0,110.0,0.0,150.0,0.0,160.0,0.0,-0.166432405575362,0.0
68,100.0,0.0,110.0,0.0,160.0,0.0,170.0,0.0,-0.08958367236703685,0.0
69,100.0,0.0,110.0,0.0,170.0,0.0,180.0,0.0,-0.053111217008396557,0.0
70,100.0,0.0,110.0,0.0,180.0,0.0,190.0,0.0,-0.033791664722772896,0.0
71,100.0,0.0,110.0,0.0,190.0,0.0,200.0,0.0,-0.022658772298265042,0.0
72,120.0,0.0,130.0,0.0,140.0,0.0,150.0,0.0,-6.053691485985812,0.0
73,120.0,0.0,130.0,0.0,150.0,0.0,160.0,0.0,-1.5264331209534743,0.0
74,120.0,0.0,130.0,0.0,160.0,0.0,170.0,0.0,-0.6105521363515168,0.0
75,120.0,0.0,130.0,0.0,170.0,0.0,180.0,0.0,-0.302925668749321,0.0
76,120.0,0.0,130.0,0.0,180.0,0.0,190.0,0.0,-0.17054171176458277,0.0
77,120.0,0.0,130.0,0.0,190.0,0.0,200.0,0.0,-0.10436688543147739,0.0
78,160.0,0.0,170.0,0.0,180.0,0.0,190.0,0.0,-5.925484711049061,0.0
79,160.0,0.0,170.0,0.0,190.0,0.0,200.0,0.0,-1.455787873220474,0.0
80,130.0,0.0,140.0,0.0,150.0,0.0,160.0,0.0,-5.9637608924834575,0.0
81,130.0,0.0,140.0,0.0,160.0,0.0,170.0,0.0,-1.4807241762807628,0.0
82,130.0,0.0,140.0,0.0,170.0,0.0,180.0,0.0,-0.5846947134157238,0.0
83,130.0,0.0,140.0,0.0,180.0,0.0,190.0,0.0,-0.2869104770208908,0.0
84,130.0,0.0,140.0,0.0,190.0,0.0,200.0,0.0,-0.15977828147898376,0.0
85,170.0,0.0,180.0,0.0,190.0,0.0,200.0,0.0,-5.923217007127075,0.0
86,70.0,0.0,80.0,0.0,90.0,0.0,100.0,0.0,-4.587045549552798,0.0
87,70.0,0.0,80.0,0.0,100.0,0.0,110.0,0.0,-0.4838806885222326,0.0
88,70.0,0.0,80.0,0.0,110.0,0.0,120.0,0.0,-0.31645624500334096,0.0
